Location,Lesson,Type,Index,Chinese,Pinyin,Korean,FileName,Extension,Remark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,03,회화,05,是您亲自预订的吗？,dummy,직접 예약하셨나요?,hotel_lesson_03_conv_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,03,회화,06,是的。我叫金唆星，订了一个单人间，请您再确认一下。,dummy,"네. 김준성으로 1인실 예약을 했는데, 다시 한 번 확인해 주세요.",hotel_lesson_03_conv_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,03,단어,01,记录,dummy,"(듣거나 발생한 사건 등을) 적다, 기록(記錄)하다",hotel_lesson_03_word_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,03,단어,02,亲 自,dummy,"자기 스스로, 몸소, 직접，친히",hotel_lesson_03_word_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,03,단어,03,订,dummy,"(조약, 계약, 계획, 규정 등을) 세우다.체결하다. 맺다",hotel_lesson_03_word_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,03,단어,04,确认,dummy,확인하다,hotel_lesson_03_word_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,회화,01,喂！您好，总服务台。,dummy,네! 프론트입니다,hotel_lesson_04_conv_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,회화,02,您好！明天早上我需要叫醒服务。,dummy,안녕하세요. 내일 아침 모닝콜 서비스가 필요한데요.,hotel_lesson_04_conv_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,회화,03,请问，您是几号房间？,dummy,"네, 몇 호에 묵으십니까?",hotel_lesson_04_conv_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,회화,04,1206号房间,dummy,1206호 입니다.,hotel_lesson_04_conv_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,회화,05,需要几点叫醒您？,dummy,몇 시에 모닝콜 해 드릴까요?,hotel_lesson_04_conv_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,회화,06,明天早上六点。,dummy,내일 아침 6시요,hotel_lesson_04_conv_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,회화,07,1206号房间，我们会在明天早上 6点准时叫醒您。,dummy,"1206호로, 아침 6시에 모닝콜 서비스 해 드리겠습니다.",hotel_lesson_04_conv_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,회화,08,谢谢！,dummy,감사합니다.,hotel_lesson_04_conv_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,단어,01,总服务台,dummy,프론트,hotel_lesson_04_word_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,단어,02,叫醒,dummy,(불러서) 깨(우)다,hotel_lesson_04_word_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
